Topic_ID,Label
1,Indoor Temperature Control
2,Air Quality & Ventilation
3,Lighting & Daylight
4,Noise & Acoustics
5,Energy Consumption
6,Security & Access Control
7,Occupancy & Space Utilisation
8,Fire Safety & Emergency
9,Water Management
10,Waste & Recycling
11,Renewable Energy & Solar
12,Green Spaces & Biodiversity
13,Health & Well-being
14,IoT Sensors & Data Analytics
15,"Lifts, Stairs & Internal Transport"
16,Parking & EV Charging
17,Building Automation & AI
18,User Apps & Digital Interaction
19,Building Maintenance & Faults
20,Carbon Footprint & Net Zero
